texts;labels
"Федеральное государственное автономное образовательное учреждение высшего образования
«Национальный исследовательский университет»

ПОЛОЖЕНИЕ

об учебном офисе факультета компьютерных наук

№ 01
г. ________
00.00.2026 г.

I. Общие положения

1. Учебный офис факультета компьютерных наук является структурным подразделением факультета и создается в целях организационного, административного и документационного сопровождения образовательного процесса.

2. Учебный офис создается, реорганизуется и ликвидируется приказом ректора (директора филиала) Университета в установленном порядке.

3. Учебный офис непосредственно подчиняется декану факультета компьютерных наук.

4. Руководство учебным офисом осуществляет начальник учебного офиса, назначаемый и освобождаемый от должности приказом ректора (директора филиала) по представлению декана факультета.

5. В своей деятельности учебный офис руководствуется:

* законодательством Российской Федерации в сфере образования;
* уставом Университета;
* локальными нормативными актами Университета;
* приказами и распоряжениями руководства Университета;
* настоящим Положением.

6. Структура и штатная численность учебного офиса утверждаются в установленном порядке.

II. Структура

1. В состав учебного офиса могут входить:

* сектор сопровождения образовательных программ;
* сектор документооборота по студентам;
* сектор расписания и учебного планирования;
* сектор сопровождения итоговой аттестации;
* иные подразделения по решению руководства факультета.

2. Распределение обязанностей между работниками учебного офиса осуществляется начальником учебного офиса в соответствии с должностными инструкциями.

III. Основные задачи

1. Организация сопровождения образовательного процесса на факультете.

2. Документационное обеспечение деятельности факультета по вопросам обучения студентов.

3. Ведение учета контингента обучающихся.

4. Подготовка проектов приказов и иных документов по движению студентов.

5. Организация взаимодействия студентов, преподавателей, академических руководителей и административных подразделений.

6. Обеспечение соблюдения установленных сроков учебного процесса.

7. Сопровождение процедур промежуточной и итоговой аттестации.

IV. Функции

Учебный офис осуществляет следующие функции:

1. Формирование и актуализация сведений о контингенте обучающихся.

2. Подготовка документов по зачислению, переводу, восстановлению, отчислению студентов.

3. Прием и регистрация заявлений обучающихся.

4. Подготовка справок об обучении, академических справок и иных документов в пределах компетенции.

5. Сопровождение индивидуальных учебных планов.

6. Подготовка и публикация расписания учебных занятий, экзаменов и пересдач.

7. Организация сбора ведомостей текущего контроля и промежуточной аттестации.

8. Подготовка документов по академическим отпускам.

9. Сопровождение государственной итоговой аттестации, защиты выпускных квалификационных работ.

10. Ведение архива учебной документации в пределах компетенции.

11. Работа в корпоративных информационных системах Университета.

12. Подготовка отчетности по запросам руководства факультета и Университета.

13. Консультирование студентов по вопросам учебного процесса.

14. Взаимодействие с общеуниверситетскими подразделениями по вопросам организации обучения.

 V. Права

Учебный офис имеет право:

1. Запрашивать у структурных подразделений сведения и документы, необходимые для выполнения возложенных функций.

2. Получать от обучающихся документы, заявления и иные материалы по вопросам обучения.

3. Направлять служебные запросы в пределах своей компетенции.

4. Использовать информационные системы Университета в установленном порядке.

5. Вносить предложения руководству факультета по совершенствованию организации учебного процесса.

6. Участвовать в совещаниях по вопросам, относящимся к компетенции учебного офиса.

VI. Взаимодействие

Учебный офис взаимодействует:

1. С деканатом факультета — по вопросам организации образовательного процесса.

2. С академическими руководителями образовательных программ — по вопросам учебных планов, успеваемости и контингента.

3. С преподавателями — по вопросам расписания, ведомостей, аттестации.

4. С приемной комиссией — по вопросам зачисления и перевода обучающихся.

5. С управлением по работе со студентами — по вопросам движения контингента.

6. С бухгалтерией — по вопросам оформления отдельных документов в пределах компетенции.

7. С обучающимися — по вопросам сопровождения обучения.

VII. Ответственность

1. Начальник учебного офиса несет персональную ответственность за организацию работы подразделения.

2. Работники учебного офиса несут ответственность за:

* соблюдение законодательства Российской Федерации;
* сохранность документов;
* корректность вносимых сведений;
* соблюдение сроков подготовки документов;
* неразглашение персональных данных и конфиденциальной информации;
* исполнение должностных обязанностей.

3. Ответственность работников определяется трудовым законодательством Российской Федерации и локальными нормативными актами Университета.

VIII. Заключительные положения

1. Настоящее Положение вступает в силу с даты утверждения.

2. Изменения и дополнения в настоящее Положение вносятся в установленном порядке.

Начальник учебного офиса __________________ /_____________/

СОГЛАСОВАНО

Декан факультета __________________ /_____________/

Начальник юридического отдела __________________ /_____________/";8.2.2.1.1-01
"Федеральное государственное автономное образовательное учреждение высшего образования
«Национальный исследовательский университет»

ПОЛОЖЕНИЕ
об отделе организации приёма абитуриентов

№ 02
г. ________
00.00.2026 г.

I. Общие положения

Отдел организации приёма абитуриентов является структурным подразделением университета, обеспечивающим проведение приёмной кампании и зачисление поступающих.

Отдел создаётся, реорганизуется и ликвидируется приказом ректора.

Отдел непосредственно подчиняется ответственному секретарю приёмной комиссии.

Руководство отделом осуществляет начальник отдела, назначаемый ректором по представлению председателя приёмной комиссии.

В деятельности отдел руководствуется законодательством об образовании, порядком приёма в вузы, уставом университета, локальными актами.

Структура и штатная численность утверждаются ректором.

II. Структура

В состав отдела могут входить: сектор документационного обеспечения приёма, сектор обработки заявлений, сектор проведения вступительных испытаний, сектор учёта целевого приёма.

Распределение обязанностей осуществляется начальником отдела.

III. Основные задачи

Организация приёма документов от поступающих.

Проведение вступительных испытаний в установленные сроки.

Формирование рейтинговых списков и подготовка приказов о зачислении.

Информирование абитуриентов о правилах приёма.

Взаимодействие с суперсервисом «Поступление в вуз онлайн».

IV. Функции

Приём и регистрация заявлений и документов.

Проверка достоверности сведений, предоставленных поступающими.

Организация работы предметных экзаменационных комиссий.

Внесение данных в государственную информационную систему.

Подготовка проектов приказов о зачислении на бюджетные и договорные места.

Выдача справок о сдаче документов.

Консультирование по телефону и в электронной приёмной.

Формирование статистической отчётности по итогам приёма.

V. Права

Запрашивать у других подразделений информацию, необходимую для приёма.

Получать от абитуриентов оригиналы документов об образовании.

Использовать корпоративные информационные системы.

Вносить предложения по изменению правил приёма.

Участвовать в совещаниях приёмной комиссии.

VI. Взаимодействие

С приёмной комиссией – по вопросам организации вступительных испытаний.

С деканатами – о наличии бюджетных мест.

С общежитиями – о предоставлении мест иногородним.

С бухгалтерией – по вопросам оплаты обучения.

С юридическим отделом – по спорным вопросам.

VII. Ответственность

Начальник отдела несёт персональную ответственность за соблюдение сроков приёмной кампании.

Сотрудники отдела отвечают за достоверность вносимых сведений, сохранность документов, неразглашение персональных данных.

Мера ответственности определяется трудовым законодательством и локальными актами.

VIII. Заключительные положения

Положение вступает в силу с даты утверждения.

Изменения вносятся приказом ректора.

Начальник отдела __________________ //
СОГЛАСОВАНО: Председатель приёмной комиссии __________________ //";8.2.2.1.1-01
"Федеральное государственное автономное образовательное учреждение высшего образования
«Национальный исследовательский университет»

ПОЛОЖЕНИЕ
о центре сопровождения практик и трудоустройства

№ 03
г. ________
00.00.2026 г.

I. Общие положения

Центр является структурным подразделением факультета, организующим прохождение практик и содействие занятости студентов.

Центр создаётся и ликвидируется приказом ректора по представлению декана.

Центр подчиняется заместителю декана по производственной работе.

Руководитель центра назначается деканом факультета.

Деятельность центра регламентируется Трудовым кодексом, локальными нормативными актами университета, настоящим Положением.

Штатное расписание утверждается деканом.

II. Структура

В состав центра входят: сектор по работе с базами практик, сектор договорной работы, сектор мониторинга карьеры выпускников.

Функциональные обязанности распределяет руководитель центра.

III. Основные задачи

Обеспечение всех видов практик, предусмотренных учебными планами.

Заключение договоров с предприятиями-партнёрами.

Содействие трудоустройству выпускников.

Анализ востребованности выпускников на рынке труда.

IV. Функции

Формирование перечня баз практик.

Оформление направлений на практику.

Контроль за своевременностью предоставления отчётных документов от студентов.

Ведение реестра договоров о практической подготовке.

Организация ярмарок вакансий и дней карьеры.

Консультирование по составлению резюме и прохождению собеседований.

Сбор отзывов работодателей о качестве подготовки студентов.

Подготовка ежегодного отчёта о трудоустройстве.

V. Права

Запрашивать у кафедр сведения о закреплённых руководителях практик.

Направлять запросы в организации о возможности прохождения практики.

Пользоваться информационными системами университета.

Вносить предложения об изменении сроков практик.

VI. Взаимодействие

С деканатом – по вопросам соответствия практик учебным планам.

С учебным офисом – о персональных данных студентов.

С бухгалтерией – об оплате практик (если предусмотрено).

С выпускающими кафедрами – о назначении руководителей.

Со студентами – по вопросам выбора места практики.

VII. Ответственность

Руководитель центра отвечает за выполнение плана практик.

Сотрудники центра несут ответственность за достоверность договорной документации, соблюдение конфиденциальности данных работодателей.

Дисциплинарная ответственность – по ТК РФ.

VIII. Заключительные положения

Положение действует с даты утверждения.

Изменения вносятся приказом декана.

Руководитель центра __________________ //
СОГЛАСОВАНО: Декан факультета __________________ //";8.2.2.1.1-01
"Федеральное государственное автономное образовательное учреждение высшего образования  
«Национальный исследовательский университет «Высшая школа экономики»

Приложение № 2
к распоряжению декана факультета
от 11.02.2026 № 07-фкн

ПОЛОЖЕНИЕ
о деятельности учебного офиса факультета компьютерных наук

г. Пермь

1. Общие положения

1.1. Учебный офис факультета компьютерных наук является административным подразделением факультета и создается в целях сопровождения образовательного процесса.

1.2. Учебный офис осуществляет документационное, организационное и информационное обеспечение реализации образовательных программ.

1.3. Подразделение находится в непосредственном подчинении декана факультета компьютерных наук.

1.4. Руководство деятельностью учебного офиса осуществляет начальник учебного офиса.

1.5. В работе подразделение руководствуется законодательством Российской Федерации, локальными нормативными актами Университета, приказами руководства, настоящим Положением.

2. Основные задачи

2.1. Сопровождение учебного процесса по программам бакалавриата и магистратуры.

2.2. Организация документооборота по вопросам движения контингента студентов.

2.3. Подготовка сведений для отчетности факультета.

2.4. Информирование обучающихся по вопросам обучения.

3. Функции

3.1. Подготовка проектов приказов о переводе, восстановлении, предоставлении академического отпуска.

3.2. Ведение учетных сведений о студентах.

3.3. Формирование и размещение расписания промежуточной аттестации.

3.4. Прием заявлений обучающихся.

3.5. Подготовка справок об обучении.

3.6. Взаимодействие с иными подразделениями Университета.

4. Права

Учебный офис вправе:

4.1. Запрашивать необходимые документы у структурных подразделений.

4.2. Использовать корпоративные информационные системы.

4.3. Направлять служебные запросы в пределах компетенции.

5. Ответственность

5.1. Работники учебного офиса несут ответственность за соблюдение сроков исполнения поручений.

5.2. Начальник подразделения отвечает за организацию работы офиса.

5.3. За разглашение персональных данных сотрудники несут ответственность в соответствии с законодательством РФ.

6. Заключительные положения

6.1. Настоящий документ вступает в силу с даты утверждения.

6.2. Ранее действовавшая редакция признается утратившей силу.

Начальник учебного офиса _____________ /____________/";8.2.2.1.1-01
"НИУ ВШЭ – Пермь
Факультет компьютерных наук

СОГЛАСОВАНО:
Начальник юридического отдела _________

УТВЕРЖДАЮ:
Декан факультета ___________

РЕГЛАМЕНТ РАБОТЫ
учебньго офиса факультета компьютерных наук
(редакция 2026 года)

I. Основные сведения

1. Учебньй офис является структурным подразделением факультета.

2. Цель деятельности офиса — обеспечение текущих процессов, связанных с обучением студентов и сопровождением образовательных программ.

3. Руководитель офиса назначается в установленном порядке.

II. Функциональные обязанности подразделения

- оформление документов по движению студентов;
- регистрация входящих обращений;
- консультирование обучающихся;
- подготовка сведений для деканата;
- работа с ведомостями;
- сопровождение процедур ГИА;
- хранение части учебной документации.

III. Полномочия

Сотрудники подразделения имеют право:

3.1 получать информацию от кафедр и служб университета;

3.2 использовать корпоративную почту, ЭДО и иные системы;

3.3 возвращать документы на доработку при неверном оформлении.

IV. Организация взаимодействия

Учебный офис взаимодействует:

- с преподавателями — по вопросам ведомостей;
- с учебно-методическим управлением — по вопросам учебных планов;
- со студентами — по вопросам справок и заявлений;
- с бухгалтерией — в пределах компетенции.

V. Ответственность работников

5.1 За несвоевременную обработку документов.

5.2 За внесение некорректных данных.

5.3 За утрату документов в установленном законом порядке.

VI. Иные положения

Документ применяется со дня подписания.
При необходимости выпускаются дополнения и изменения.";8.2.2.1.1-01
"Федеральное государственное автономное образовательное учреждение высшего образования
«Национальный исследовательский университет»

Положение
об организации деятельности учебного офиса
факультета компьютерных наук

№ 14/2026

1. Статус подразделения

1.1 Учебный офис относится к числу административных подразделений факультета компьютерных наук.

1.2 Основное назначение подразделения состоит в сопровождении образовательного процесса, а также координации отдельных процедур, связанных с обучающимися.

1.3 Учебный офис подчиняется декану факультета либо уполномоченному им лицу.

2. Структура подразделения

В составе офиса могут функционировать:

— сектор расписания;
— сектор студенческого документооборота;
— сектор сопровождения итоговой атестации;
— иные сотрудники согласно штатному расписанию.

3. Направления деятельности

3.1 Ведение базы данных контингента.

3.2 Подготовка справок, выписок, подтверждений статуса студента.

3.3 Сбор документов для перевода и восстановления.

3.4 Подготовка графиков пересдач.

3.5 Передача сведений в общеуниверситетские подразделения.

3.6 Консультирование студентов по типовым вопросам.

4. Права подразделения

4.1 Запрашивать сведения у кафедр и служб.

4.2 Получать от студентов заявления установленной формы.

4.3 Пользоваться помещениями и ресурсами университета для исполнения функций.

5. Ответственность

Работники офиса обязаны соблюдать требования внутренних регламентов.
Нарушение сроков, ошибки в данных, ненадлежащее хранение документов не допускается.

6. Заключение

Настоящее Положение действует до отмены либо принятия новой редакции.

Лист ознакомления:
________________
________________
________________";8.2.2.1.1-01
"Федеральное государственное автономное образовательное учреждение высшего образования
«Национальный исследовательский университет»
(Пермский филиал — факультет компьютерных наук)

ПОЛОЖЕНИЕ

об учебном офисе факультета компьютерных наук
№ 01/УО-2026 (проектная редакция)

г. Пермь
00.00.2026 г.

1. Общие положения

1.1. Учебный офис факультета компьютерных наук (далее — УО) является административно-организационной единицей, обеспечивающей сопровождение учебных процессов, документооборот и частично информационное сопровождение студентов.

1.2. УО создается приказом руководства Университета. Ликвидация и реорганизация возможны при изменении структуры факультета или “по необходимости оптимизации процессов”.

1.3. УО подчиняется декану факультета и частично (в части электронных систем) — управлению цифровых сервисов университета (не всегда напрямую).

1.4. В своей деятельности УО руководствуется:

законодательством РФ;
локальными актами Университета;
приказами (в том числе устными поручениями, зафиксированными позже);
настоящим Положением (и его возможными редакциями).
2. Структура (условная)

2.1. В состав входят:

сектор учета студентов;
сектор расписания (и частично “самоорганизующийся модуль Excel”);
сектор документов и архивирования;
временная группа поддержки ВКР (по сезону май–июль).

2.2. Возможны временные рабочие группы, создаваемые “по загрузке”.

3. Основные задачи
сопровождение образовательного процесса;
регистрация документов студентов;
формирование приказов;
контроль сроков (иногда постфактум);
взаимодействие со всеми подразделениями факультета.
4. Функции

4.1. Ведение учета студентов (включая неполные или уточняемые данные).

4.2. Подготовка справок, выписок, копий документов.

4.3. Формирование проектов приказов:

о зачислении;
об отчислении;
о восстановлении;
“и иных, возникающих в процессе”.

4.4. Работа с электронными системами Университета (включая сторонние таблицы при сбоях).

4.5. Подготовка расписания занятий и экзаменов (в нескольких версиях до утверждения).

5. Права

УО вправе:

запрашивать информацию у студентов и подразделений;
корректировать данные при наличии оснований;
предлагать изменения процессов;
временно приостанавливать обработку заявлений при высокой нагрузке (по согласованию).
6. Ответственность

Сотрудники несут ответственность за:

корректность данных;
соблюдение сроков (с учетом объективных обстоятельств);
сохранность документов;
“иные обязательства, вытекающие из должности”.
7. Заключительные положения

Настоящее Положение действует до момента утверждения новой редакции либо “существенного изменения организационной структуры”.

Подписи:
Начальник учебного офиса ____________ //
Декан факультета ____________ //";8.2.2.1.1-01
"ФГАОУ ВО «Национальный исследовательский университет»

ПОЛОЖЕНИЕ (служебная редакция № 2-УО)

об учебном офисе факультета компьютерных наук

г. ________
«___» ________ 2026 г.

I. Общие положения
Учебный офис факультета (далее — подразделение, УО/Office) выполняет функции сопровождения учебного процесса и частично функции “оперативного реагирования”.
Подразделение создается приказом ректора. Допускается временная приостановка отдельных функций без отдельного приказа в случае “форс-мажорной нагрузки”.
УО подчиняется деканату факультета, а также взаимодействует с IT-службой (в части платформ).
II. Организационная структура

2.1. Формально включает:

административный блок;
блок учета студентов;
блок учебного планирования;
“резервный блок ручной обработки документов”.

2.2. Фактическая структура может отличаться от формальной в зависимости от периода учебного года.

III. Цели и задачи
обеспечение учебного процесса;
сопровождение студентов на всех этапах обучения;
обработка документов;
поддержка ГИА и ВКР;
формирование отчетности.
IV. Функции (расширенный перечень)

4.1. Прием и регистрация документов.

4.2. Обработка обращений студентов (в том числе повторных).

4.3. Подготовка и исправление ошибок в данных.

4.4. Сопровождение приказов (с возможностью уточнения после публикации).

4.5. Ведение архивов (частично цифровых, частично смешанных).

4.6. Взаимодействие с кафедрами, иногда через промежуточные каналы.

V. Права подразделения

УО имеет право:

устанавливать внутренние сроки обработки;
возвращать документы на доработку;
запрашивать повторное предоставление данных;
использовать альтернативные формы учета при технических сбоях.
VI. Ответственность

Ответственность сотрудников определяется:

Трудовым кодексом РФ;
локальными актами;
“внутренними регламентами, не всегда формализованными”.
VII. Прочие положения

Настоящий документ может применяться совместно с другими регламентами факультета, даже если между ними имеются расхождения в формулировках.

Подписи:
Начальник УО ____________ //
Согласовано (условно) ____________ //";8.2.2.1.1-01
"Федеральное государственное автономное образовательное учреждение высшего образования
«НИУ ВШЭ» (Пермь)
Факультет СЭКН

ПОЛОЖЕНИЕ

об учебном офисе факультета компьютерных наук и смежных процессов сопровождения студентов
№ 01-УО/2026

Вводная часть (неофициальная формулировка)

Учебный офис является ключевым звеном “между студентами, преподавателями и административной системой университета”, обеспечивая документооборот, учет и частичную координацию учебного процесса.

1. Общие положения

1.1. УО — структурное подразделение факультета.

1.2. Создается приказом. Может функционировать в смешанном формате (офлайн + цифровой контур).

1.3. Подчинение: декан факультета + функционально IT-архитектура университета (частично).

2. Организация работы

2.1. Работа УО осуществляется по циклам:

семестровый;
экзаменационный;
“пиковый (ВКР/ГИА)”.

2.2. В периоды пиковой нагрузки допускается перераспределение функций между сотрудниками.

3. Функции (основные + дополнительные)
учет студентов;
обработка заявлений;
формирование приказов;
сопровождение ВКР;
подготовка протоколов;
работа с электронными системами;
дублирование данных в резервных таблицах (при необходимости).
4. Права

УО вправе:

уточнять данные у студентов;
корректировать технические ошибки;
временно менять порядок обработки документов при согласовании с руководством;
вводить “временные формы учета”.
5. Ответственность

Сотрудники отвечают за:

точность данных;
корректность оформления документов;
соблюдение сроков (с учетом объективной учебной нагрузки системы);
сохранность информации.
6. Заключение

Положение вступает в силу с момента подписания и действует до его замены новой редакцией либо до изменения структуры факультета.

Подписи:

Начальник учебного офиса __________ //
Декан факультета __________ //
Юридический отдел (визирование) __________ /__________/";8.2.2.1.1-01
"Федеральное государственное автономное образовательное учреждение высшего образования
«НИУ ВШЭ» (Пермь)
Факультет СЭКН

ПОЛОЖЕНИЕ

об учебном офисе факультета компьютерных наук и цифрового сопровождения образовательных процессов

№ 01-УО/2026 (rev. 1.0)

0. Общий вводный блок (неформализованная часть)

Учебный офис рассматривается как “операционный центр обработки учебных данных”, обеспечивающий связь между студентами, образовательными программами и административными системами (включая внешние цифровые сервисы).

1. Статус и подчинение

1.1. Учебный офис является структурной единицей факультета СЭКН.
1.2. Создается/реорганизуется приказом руководства.
1.3. Подчинение: декан факультета + регламентированные ИС университета.
(в отдельных процессах допускается “двойное подчинение” по функциональным линиям)

2. Режим функционирования

2.1. Работа осуществляется в трех режимах:

стандартный (семестровый)
экзаменационный
критический нагрузочный (ГИА / ВКР)

2.2. В режиме нагрузки допускаются:

временные упрощения документооборота
использование промежуточных форм (draft forms)
3. Функциональная зона ответственности
ведение учета контингента
обработка заявлений обучающихся
сопровождение приказов (движение студентов)
сопровождение ВКР / ГИА
регистрация протоколов комиссий
работа с LMS / СЭД / внешними таблицами

(возможны дубли данных между системами — допустимо регламентом)

4. Права

Учебный офис имеет право:

запрашивать уточнения у студентов и кафедр
вносить технические корректировки в записи
использовать временные формы учета при сбоях ИС
перераспределять нагрузку между сотрудниками
5. Ответственность (с учетом операционных факторов)

Сотрудники отвечают за:

корректность данных в пределах доступных систем
соблюдение сроков (с учетом пиковых периодов)
сохранность документов (бумажных и электронных)
6. Заключительное положение

Документ действует до обновления регламента или изменения структуры факультета.
Возможны редакционные правки без изменения номера версии.

Подписи:

Начальник УО __________ / /
Декан __________ / /
Юр. отдел (визирование) __________ / /";8.2.2.1.1-01
